doc_id,item,category,amount,price,discount
uIi9y2,Футболка,Текстиль,5,659.25,0
uIi9y2,Футболка,Текстиль,5,991.31,6.95
TdMdj7,Стиральный порошок,Бытовая химия,5,174.17,69.96
TdMdj7,Полотенце,Текстиль,5,698.31,0
TO37QZ,Полотенце,Текстиль,2,356.39,86.33
TO37QZ,Стиральный порошок,Бытовая химия,5,330.74,0
TO37QZ,Сковорода,Посуда,5,174.48,34.89
TO37QZ,Стиральный порошок,Бытовая химия,3,575.96,0
NEg238,Полотенце,Текстиль,4,829.2,0
NEg238,Футболка,Текстиль,2,757.88,0
NEg238,Мыло,Бытовая химия,5,187.14,53.14
NEg238,Футболка,Текстиль,1,401.92,36.28
JMANT1,Стиральный порошок,Бытовая химия,3,331.19,0
JMANT1,Сковорода,Посуда,3,234.34,0
LTIQaL,Полотенце,Текстиль,2,234.27,0
jre9Qh,Футболка,Текстиль,4,291.87,16.01
jre9Qh,Сковорода,Посуда,1,195.6,0
